"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
3_1,Cyclic Voltammetry,2162.34,0.998985,0.998985,-0.142197,0,-0.0854105,7.86781e-06
3_1,Cyclic Voltammetry,2162.54,0.999945,0.999945,-0.139245,0,-0.0854183,1.00136e-05
3_1,Cyclic Voltammetry,2162.74,1.001,1.001,-0.138474,0,-0.085426,-5.09024e-05
3_1,Cyclic Voltammetry,2162.94,1.00203,1.00203,-0.138035,0,-0.0854337,-8.61883e-05
3_1,Cyclic Voltammetry,2163.14,1.00304,1.00304,-0.137491,0,-0.0854413,-6.10352e-05
3_1,Cyclic Voltammetry,2163.33,1.00403,1.00403,-0.136934,0,-0.0854489,-0.000101089
3_1,Cyclic Voltammetry,2163.53,1.00496,1.00496,-0.136425,0,-0.0854565,-0.000127912
3_1,Cyclic Voltammetry,2163.73,1.00592,1.00592,-0.136011,0,-0.0854641,-9.48906e-05
3_1,Cyclic Voltammetry,2163.93,1.00686,1.00686,-0.135549,0,-0.0854716,-0.000101924
3_1,Cyclic Voltammetry,2164.13,1.00786,1.00786,-0.135237,0,-0.0854791,-0.000136614
3_1,Cyclic Voltammetry,2164.33,1.00888,1.00888,-0.134581,0,-0.0854866,-7.89165e-05
3_1,Cyclic Voltammetry,2164.53,1.00989,1.00989,-0.134146,0,-0.0854941,-3.27826e-05
3_1,Cyclic Voltammetry,2164.73,1.01095,1.01095,-0.133682,0,-0.0855015,-2.58684e-05
3_1,Cyclic Voltammetry,2164.93,1.01197,1.01197,-0.133197,0,-0.0855089,3.5882e-05
3_1,Cyclic Voltammetry,2165.13,1.013,1.013,-0.132756,0,-0.0855163,-3.21865e-06
3_1,Cyclic Voltammetry,2165.33,1.01398,1.01398,-0.132287,0,-0.0855236,-7.52211e-05
3_1,Cyclic Voltammetry,2165.53,1.01494,1.01494,-0.131815,0,-0.085531,-0.000149012
3_1,Cyclic Voltammetry,2165.73,1.01588,1.01588,-0.131393,0,-0.0855383,-0.000232935
3_1,Cyclic Voltammetry,2165.93,1.01683,1.01683,-0.131273,0,-0.0855456,-0.00019598
3_1,Cyclic Voltammetry,2166.13,1.01774,1.01774,-0.130523,0,-0.0855528,-0.000124335
3_1,Cyclic Voltammetry,2166.33,1.01876,1.01876,-0.130076,0,-0.0855601,-5.126e-05
3_1,Cyclic Voltammetry,2166.53,1.01979,1.01979,-0.129595,0,-0.0855673,3.71933e-05
3_1,Cyclic Voltammetry,2166.73,1.02083,1.02083,-0.129197,0,-0.0855745,6.6638e-05
3_1,Cyclic Voltammetry,2166.93,1.02185,1.02185,-0.128783,0,-0.0855816,-1.13249e-05
3_1,Cyclic Voltammetry,2167.13,1.02284,1.02284,-0.1284,0,-0.0855887,-0.000118494
3_1,Cyclic Voltammetry,2167.33,1.02384,1.02384,-0.127905,0,-0.0855959,-0.000124216
3_1,Cyclic Voltammetry,2167.53,1.02481,1.02481,-0.127482,0,-0.0856029,-0.000146389
3_1,Cyclic Voltammetry,2167.73,1.02576,1.02576,-0.127119,0,-0.08561,-0.000106215
3_1,Cyclic Voltammetry,2167.93,1.02674,1.02674,-0.126861,0,-0.0856171,-5.91278e-05
3_1,Cyclic Voltammetry,2168.13,1.02769,1.02769,-0.126366,0,-0.0856241,-5.98431e-05
3_1,Cyclic Voltammetry,2168.33,1.0287,1.0287,-0.125998,0,-0.0856311,-0.000104904
3_1,Cyclic Voltammetry,2168.53,1.02976,1.02976,-0.125472,0,-0.0856381,-8.24928e-05
3_1,Cyclic Voltammetry,2168.73,1.03079,1.03079,-0.125052,0,-0.085645,-2.53916e-05
3_1,Cyclic Voltammetry,2168.93,1.03181,1.03181,-0.124543,0,-0.0856519,-5.17368e-05
3_1,Cyclic Voltammetry,2169.13,1.03283,1.03283,-0.124142,0,-0.0856588,-2.75373e-05
3_1,Cyclic Voltammetry,2169.33,1.03385,1.03385,-0.123622,0,-0.0856657,-9.04799e-05
3_1,Cyclic Voltammetry,2169.53,1.03482,1.03482,-0.123219,0,-0.0856726,-0.000138402
3_1,Cyclic Voltammetry,2169.73,1.03578,1.03578,-0.122927,0,-0.0856794,-0.00015986
3_1,Cyclic Voltammetry,2169.93,1.03671,1.03671,-0.122407,0,-0.0856862,-0.000154495
