"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
4_1,Cyclic Voltammetry,2645.51,1.00007,1.00007,-0.0224288,0,-0.0164821,0.000187993
4_1,Cyclic Voltammetry,2645.61,1.0013,1.0013,-0.0219715,0,-0.0164827,3.42131e-05
4_1,Cyclic Voltammetry,2645.71,1.00183,1.00183,-0.0218031,0,-0.0164834,9.05991e-06
4_1,Cyclic Voltammetry,2645.81,1.00281,1.00281,-0.0216618,0,-0.016484,2.07424e-05
4_1,Cyclic Voltammetry,2645.91,1.00378,1.00378,-0.0215244,0,-0.0164846,9.23872e-05
4_1,Cyclic Voltammetry,2646.01,1.00482,1.00482,-0.0214118,0,-0.0164851,0.00012815
4_1,Cyclic Voltammetry,2646.11,1.00584,1.00584,-0.0213009,0,-0.0164857,0.000181675
4_1,Cyclic Voltammetry,2646.21,1.00689,1.00689,-0.0211841,0,-0.0164863,0.000190496
4_1,Cyclic Voltammetry,2646.31,1.00791,1.00791,-0.0210859,0,-0.0164869,0.000180244
4_1,Cyclic Voltammetry,2646.41,1.00889,1.00889,-0.0209865,0,-0.0164875,0.000155687
4_1,Cyclic Voltammetry,2646.51,1.00987,1.00987,-0.0208991,0,-0.0164881,9.39369e-05
4_1,Cyclic Voltammetry,2646.61,1.01081,1.01081,-0.0208002,0,-0.0164886,3.05176e-05
4_1,Cyclic Voltammetry,2646.71,1.01176,1.01176,-0.0207139,0,-0.0164892,6.42538e-05
4_1,Cyclic Voltammetry,2646.81,1.01271,1.01271,-0.0206179,0,-0.0164898,8.30889e-05
4_1,Cyclic Voltammetry,2646.91,1.01371,1.01371,-0.0205477,0,-0.0164904,0.000132561
4_1,Cyclic Voltammetry,2647.01,1.01474,1.01474,-0.0204516,0,-0.0164909,0.000154853
4_1,Cyclic Voltammetry,2647.11,1.01575,1.01575,-0.0203727,0,-0.0164915,0.000116825
4_1,Cyclic Voltammetry,2647.21,1.0168,1.0168,-0.0202916,0,-0.0164921,0.000183821
4_1,Cyclic Voltammetry,2647.31,1.01773,1.01773,-0.0202503,0,-0.0164926,0.000196695
4_1,Cyclic Voltammetry,2647.41,1.01875,1.01875,-0.0201464,0,-0.0164932,0.000223279
4_1,Cyclic Voltammetry,2647.51,1.01971,1.01971,-0.0200668,0,-0.0164937,0.000197172
4_1,Cyclic Voltammetry,2647.61,1.02066,1.02066,-0.019989,0,-0.0164943,0.000128269
4_1,Cyclic Voltammetry,2647.7,1.02161,1.02161,-0.0199023,0,-0.0164948,6.30617e-05
4_1,Cyclic Voltammetry,2647.8,1.02258,1.02258,-0.0198328,0,-0.0164954,6.60419e-05
4_1,Cyclic Voltammetry,2647.9,1.02362,1.02362,-0.0197576,0,-0.0164959,3.92199e-05
4_1,Cyclic Voltammetry,2648,1.0246,1.0246,-0.0196879,0,-0.0164965,0.000122309
4_1,Cyclic Voltammetry,2648.1,1.02566,1.02566,-0.0196136,0,-0.016497,0.000163078
4_1,Cyclic Voltammetry,2648.2,1.02667,1.02667,-0.0195433,0,-0.0164976,0.000225067
4_1,Cyclic Voltammetry,2648.3,1.0277,1.0277,-0.0194592,0,-0.0164981,0.000238895
4_1,Cyclic Voltammetry,2648.4,1.02871,1.02871,-0.019393,0,-0.0164986,0.000242114
4_1,Cyclic Voltammetry,2648.5,1.02969,1.02969,-0.0193307,0,-0.0164992,0.000174046
4_1,Cyclic Voltammetry,2648.6,1.03066,1.03066,-0.0192685,0,-0.0164997,8.52346e-05
4_1,Cyclic Voltammetry,2648.7,1.0316,1.0316,-0.0191953,0,-0.0165002,5.6386e-05
4_1,Cyclic Voltammetry,2648.8,1.03259,1.03259,-0.0191282,0,-0.0165008,8.22544e-05
4_1,Cyclic Voltammetry,2648.9,1.03358,1.03358,-0.0190618,0,-0.0165013,0.000123024
4_1,Cyclic Voltammetry,2649,1.03457,1.03457,-0.0190088,0,-0.0165018,0.000155687
4_1,Cyclic Voltammetry,2649.1,1.03561,1.03561,-0.0189323,0,-0.0165024,0.000142455
4_1,Cyclic Voltammetry,2649.2,1.03662,1.03662,-0.018871,0,-0.0165029,0.000121355
4_1,Cyclic Voltammetry,2649.3,1.03765,1.03765,-0.0188155,0,-0.0165034,0.000177979
4_1,Cyclic Voltammetry,2649.4,1.03864,1.03864,-0.0187614,0,-0.0165039,0.000227928
4_1,Cyclic Voltammetry,2649.5,1.03963,1.03963,-0.0186881,0,-0.0165044,0.000214815
4_1,Cyclic Voltammetry,2649.6,1.04063,1.04063,-0.0186278,0,-0.016505,0.000233173
4_1,Cyclic Voltammetry,2649.7,1.04158,1.04158,-0.0185691,0,-0.0165055,0.000179052
4_1,Cyclic Voltammetry,2649.8,1.04254,1.04254,-0.018515,0,-0.016506,9.56059e-05
4_1,Cyclic Voltammetry,2649.9,1.04352,1.04352,-0.0184432,0,-0.0165065,4.05312e-05
4_1,Cyclic Voltammetry,2650,1.04455,1.04455,-0.0183928,0,-0.016507,0.000136495
4_1,Cyclic Voltammetry,2650.1,1.04557,1.04557,-0.0183364,0,-0.0165075,0.000146866
4_1,Cyclic Voltammetry,2650.19,1.04661,1.04661,-0.0182783,0,-0.016508,0.000197411
4_1,Cyclic Voltammetry,2650.29,1.04764,1.04764,-0.0182093,0,-0.0165085,0.000219584
