"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
3_1,Cyclic Voltammetry,2164.32,1.00008,1.00008,-0.242084,0,-0.145541,0.000242352
3_1,Cyclic Voltammetry,2164.52,1.00096,1.00096,-0.249268,0,-0.145555,0.000210285
3_1,Cyclic Voltammetry,2164.72,1.00191,1.00191,-0.239677,0,-0.145568,0.000101566
3_1,Cyclic Voltammetry,2164.92,1.00287,1.00287,-0.238935,0,-0.145582,8.51154e-05
3_1,Cyclic Voltammetry,2165.12,1.00392,1.00392,-0.235705,0,-0.145595,0.000168324
3_1,Cyclic Voltammetry,2165.32,1.00494,1.00494,-0.23261,0,-0.145608,0.000200987
3_1,Cyclic Voltammetry,2165.52,1.006,1.006,-0.23088,0,-0.14562,0.00026834
3_1,Cyclic Voltammetry,2165.71,1.00702,1.00702,-0.232547,0,-0.145633,0.000355363
3_1,Cyclic Voltammetry,2165.91,1.00804,1.00804,-0.231042,0,-0.145646,0.000310898
3_1,Cyclic Voltammetry,2166.11,1.00903,1.00903,-0.227698,0,-0.145659,0.000236273
3_1,Cyclic Voltammetry,2166.31,1.00996,1.00996,-0.225588,0,-0.145671,0.000184655
3_1,Cyclic Voltammetry,2166.51,1.01092,1.01092,-0.223882,0,-0.145684,0.0001508
3_1,Cyclic Voltammetry,2166.71,1.01186,1.01186,-0.222157,0,-0.145696,0.000117898
3_1,Cyclic Voltammetry,2166.91,1.01286,1.01286,-0.220906,0,-0.145708,0.000169277
3_1,Cyclic Voltammetry,2167.11,1.01411,1.01411,-0.224775,0,-0.14572,0.000165582
3_1,Cyclic Voltammetry,2167.31,1.01488,1.01488,-0.217679,0,-0.145733,0.000193357
3_1,Cyclic Voltammetry,2167.5,1.0159,1.0159,-0.217324,0,-0.145745,0.000206113
3_1,Cyclic Voltammetry,2167.7,1.01692,1.01692,-0.214894,0,-0.145757,0.000221014
3_1,Cyclic Voltammetry,2167.9,1.01786,1.01786,-0.212101,0,-0.145768,0.000239849
3_1,Cyclic Voltammetry,2168.1,1.01887,1.01887,-0.211047,0,-0.14578,0.000268936
3_1,Cyclic Voltammetry,2168.3,1.01985,1.01985,-0.208786,0,-0.145792,0.000255227
3_1,Cyclic Voltammetry,2168.5,1.02079,1.02079,-0.207298,0,-0.145803,0.000194311
3_1,Cyclic Voltammetry,2168.7,1.02178,1.02178,-0.206104,0,-0.145815,0.000145316
3_1,Cyclic Voltammetry,2168.9,1.02274,1.02274,-0.20438,0,-0.145826,8.16584e-05
3_1,Cyclic Voltammetry,2169.1,1.02373,1.02373,-0.203029,0,-0.145837,6.84261e-05
3_1,Cyclic Voltammetry,2169.29,1.02476,1.02476,-0.201718,0,-0.145848,0.000174999
3_1,Cyclic Voltammetry,2169.49,1.02581,1.02581,-0.202494,0,-0.14586,0.000220895
3_1,Cyclic Voltammetry,2169.69,1.0268,1.0268,-0.197999,0,-0.145871,0.000216246
3_1,Cyclic Voltammetry,2169.89,1.0278,1.0278,-0.196809,0,-0.145882,0.000278473
3_1,Cyclic Voltammetry,2170.09,1.02884,1.02884,-0.199258,0,-0.145892,0.000272512
3_1,Cyclic Voltammetry,2170.29,1.02982,1.02982,-0.19485,0,-0.145903,0.000173569
3_1,Cyclic Voltammetry,2170.49,1.03077,1.03077,-0.196709,0,-0.145914,0.000106215
3_1,Cyclic Voltammetry,2170.69,1.03173,1.03173,-0.190348,0,-0.145925,0.000124931
