"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
4_1,Cyclic Voltammetry,2643.18,0.998988,0.998988,-0.199165,0,-0.14623,-2.14577e-05
4_1,Cyclic Voltammetry,2643.28,0.999825,0.999825,-0.190961,0,-0.146236,-4.03523e-05
4_1,Cyclic Voltammetry,2643.38,1.00086,1.00086,-0.189115,0,-0.146241,-7.99894e-05
4_1,Cyclic Voltammetry,2643.48,1.00187,1.00187,-0.187864,0,-0.146246,-6.40154e-05
4_1,Cyclic Voltammetry,2643.58,1.00289,1.00289,-0.187207,0,-0.146251,-8.34465e-05
4_1,Cyclic Voltammetry,2643.68,1.00387,1.00387,-0.186154,0,-0.146257,-0.000118494
4_1,Cyclic Voltammetry,2643.78,1.00484,1.00484,-0.186357,0,-0.146262,-0.000131369
4_1,Cyclic Voltammetry,2643.88,1.0058,1.0058,-0.184776,0,-0.146267,-0.00011158
4_1,Cyclic Voltammetry,2643.98,1.00675,1.00675,-0.183372,0,-0.146272,-0.000116348
4_1,Cyclic Voltammetry,2644.08,1.00775,1.00775,-0.182345,0,-0.146277,-0.000112295
4_1,Cyclic Voltammetry,2644.18,1.00876,1.00876,-0.181913,0,-0.146282,-8.64267e-05
4_1,Cyclic Voltammetry,2644.28,1.0098,1.0098,-0.181288,0,-0.146287,-5.8651e-05
4_1,Cyclic Voltammetry,2644.38,1.01083,1.01083,-0.18057,0,-0.146292,2.13385e-05
4_1,Cyclic Voltammetry,2644.48,1.01186,1.01186,-0.180226,0,-0.146297,9.53674e-06
4_1,Cyclic Voltammetry,2644.58,1.01285,1.01285,-0.179922,0,-0.146302,-9.29832e-06
4_1,Cyclic Voltammetry,2644.68,1.01383,1.01383,-0.179405,0,-0.146307,-5.78165e-05
4_1,Cyclic Voltammetry,2644.78,1.01477,1.01477,-0.178368,0,-0.146312,-0.000152588
4_1,Cyclic Voltammetry,2644.88,1.01571,1.01571,-0.177981,0,-0.146317,-0.000172377
4_1,Cyclic Voltammetry,2644.98,1.01666,1.01666,-0.177956,0,-0.146322,-0.000186324
4_1,Cyclic Voltammetry,2645.08,1.01757,1.01757,-0.177545,0,-0.146327,-0.000148058
4_1,Cyclic Voltammetry,2645.18,1.0186,1.0186,-0.17683,0,-0.146332,-6.16312e-05
4_1,Cyclic Voltammetry,2645.28,1.01964,1.01964,-0.175893,0,-0.146337,-1.5378e-05
4_1,Cyclic Voltammetry,2645.38,1.02065,1.02065,-0.174283,0,-0.146342,2.02656e-06
4_1,Cyclic Voltammetry,2645.48,1.02172,1.02172,-0.173999,0,-0.146347,-3.016e-05
4_1,Cyclic Voltammetry,2645.58,1.02272,1.02272,-0.173764,0,-0.146352,-0.000136733
4_1,Cyclic Voltammetry,2645.68,1.02371,1.02371,-0.171958,0,-0.146356,-0.000183463
4_1,Cyclic Voltammetry,2645.78,1.02466,1.02466,-0.171225,0,-0.146361,-0.000202894
4_1,Cyclic Voltammetry,2645.88,1.02564,1.02564,-0.170656,0,-0.146366,-0.00017786
4_1,Cyclic Voltammetry,2645.98,1.02659,1.02659,-0.170115,0,-0.146371,-0.000148535
4_1,Cyclic Voltammetry,2646.08,1.02757,1.02757,-0.169142,0,-0.146375,-5.56707e-05
4_1,Cyclic Voltammetry,2646.18,1.02861,1.02861,-0.168169,0,-0.14638,-7.14064e-05
4_1,Cyclic Voltammetry,2646.28,1.02962,1.02962,-0.168327,0,-0.146385,-6.1512e-05
4_1,Cyclic Voltammetry,2646.38,1.03064,1.03064,-0.167425,0,-0.146389,-5.19753e-05
4_1,Cyclic Voltammetry,2646.48,1.03168,1.03168,-0.166623,0,-0.146394,-1.37091e-05
4_1,Cyclic Voltammetry,2646.58,1.03269,1.03269,-0.166316,0,-0.146399,-1.91927e-05
4_1,Cyclic Voltammetry,2646.68,1.03366,1.03366,-0.16619,0,-0.146403,-5.53131e-05
