"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
5_1,Cyclic Voltammetry,2884.47,0.999036,0.999036,-0.29275,0,-0.234563,2.70605e-05
5_1,Cyclic Voltammetry,2884.51,0.999542,0.999542,-0.27266,0,-0.234566,5.49555e-05
5_1,Cyclic Voltammetry,2884.55,1.0005,1.0005,-0.262658,0,-0.234569,4.24385e-05
5_1,Cyclic Voltammetry,2884.59,1.00152,1.00152,-0.259797,0,-0.234572,1.00136e-05
5_1,Cyclic Voltammetry,2884.63,1.00257,1.00257,-0.25707,0,-0.234575,6.31809e-05
5_1,Cyclic Voltammetry,2884.67,1.00351,1.00351,-0.25514,0,-0.234578,-3.51667e-05
5_1,Cyclic Voltammetry,2884.71,1.0045,1.0045,-0.253998,0,-0.234581,-0.0001086
5_1,Cyclic Voltammetry,2884.75,1.00542,1.00542,-0.253005,0,-0.234583,-3.33786e-06
5_1,Cyclic Voltammetry,2884.79,1.00637,1.00637,-0.252897,0,-0.234586,-1.96695e-05
5_1,Cyclic Voltammetry,2884.83,1.00737,1.00737,-0.252078,0,-0.234589,1.19209e-07
5_1,Cyclic Voltammetry,2884.87,1.00839,1.00839,-0.250748,0,-0.234592,-2.24113e-05
5_1,Cyclic Voltammetry,2884.91,1.00939,1.00939,-0.250428,0,-0.234595,-1.64509e-05
5_1,Cyclic Voltammetry,2884.95,1.01042,1.01042,-0.253567,0,-0.234597,7.15256e-05
5_1,Cyclic Voltammetry,2884.99,1.01146,1.01146,-0.251146,0,-0.2346,7.99894e-05
5_1,Cyclic Voltammetry,2885.03,1.01248,1.01248,-0.246995,0,-0.234603,0.000109673
5_1,Cyclic Voltammetry,2885.06,1.01348,1.01348,-0.245717,0,-0.234606,6.31809e-06
5_1,Cyclic Voltammetry,2885.1,1.01444,1.01444,-0.245205,0,-0.234608,-4.85182e-05
5_1,Cyclic Voltammetry,2885.14,1.01538,1.01538,-0.24427,0,-0.234611,-8.95262e-05
5_1,Cyclic Voltammetry,2885.18,1.01634,1.01634,-0.243769,0,-0.234614,-0.000148058
