"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,963.709,0.999181,0.999181,-1.74367,0,-0.466776,-0.000113964
2_1,Cyclic Voltammetry,964.207,1.00014,1.00014,-1.62906,0,-0.467009,-5.02467e-05
2_1,Cyclic Voltammetry,964.704,1.00117,1.00117,-1.50905,0,-0.467226,-6.4373e-06
2_1,Cyclic Voltammetry,965.202,1.00219,1.00219,-1.31381,0,-0.467421,-2.74181e-06
2_1,Cyclic Voltammetry,965.7,1.00319,1.00319,-1.11605,0,-0.467589,-2.26498e-05
2_1,Cyclic Voltammetry,966.197,1.00416,1.00416,-0.871619,0,-0.467726,-4.20809e-05
2_1,Cyclic Voltammetry,966.695,1.00515,1.00515,-0.42332,0,-0.467816,-7.35521e-05
2_1,Cyclic Voltammetry,967.193,1.00608,1.00608,-0.259547,0,-0.467863,-6.19888e-05
2_1,Cyclic Voltammetry,967.691,1.00721,1.00721,-0.204156,0,-0.467895,-0.000106931
2_1,Cyclic Voltammetry,968.188,1.00801,1.00801,-0.184804,0,-0.467922,-0.000117302
2_1,Cyclic Voltammetry,968.686,1.00903,1.00903,-0.169913,0,-0.467947,-5.53131e-05
2_1,Cyclic Voltammetry,969.184,1.01006,1.01006,-0.158343,0,-0.467969,3.21865e-05
2_1,Cyclic Voltammetry,969.682,1.01111,1.01111,-0.150312,0,-0.467991,1.44243e-05
2_1,Cyclic Voltammetry,970.179,1.01213,1.01213,-0.144883,0,-0.468011,5.44786e-05
2_1,Cyclic Voltammetry,970.677,1.01313,1.01313,-0.137809,0,-0.468031,6.33001e-05
2_1,Cyclic Voltammetry,971.175,1.01413,1.01413,-0.133434,0,-0.468049,-7.7486e-05
2_1,Cyclic Voltammetry,971.672,1.01506,1.01506,-0.129148,0,-0.468068,-0.000135899
2_1,Cyclic Voltammetry,972.17,1.01601,1.01601,-0.125538,0,-0.468085,-0.00016439
2_1,Cyclic Voltammetry,972.668,1.01693,1.01693,-0.123459,0,-0.468102,-0.000122905
2_1,Cyclic Voltammetry,973.166,1.01789,1.01789,-0.118638,0,-0.468119,-7.15256e-06
2_1,Cyclic Voltammetry,973.663,1.0189,1.0189,-0.116053,0,-0.468135,3.00407e-05
2_1,Cyclic Voltammetry,974.161,1.01993,1.01993,-0.113013,0,-0.468151,5.6386e-05
2_1,Cyclic Voltammetry,974.659,1.02096,1.02096,-0.110484,0,-0.468167,7.24792e-05
2_1,Cyclic Voltammetry,975.156,1.02201,1.02201,-0.108475,0,-0.468182,4.75645e-05
2_1,Cyclic Voltammetry,975.654,1.023,1.023,-0.106286,0,-0.468197,-7.41482e-05
2_1,Cyclic Voltammetry,976.152,1.02398,1.02398,-0.104265,0,-0.468211,-9.52482e-05
2_1,Cyclic Voltammetry,976.649,1.02495,1.02495,-0.102623,0,-0.468225,-8.13007e-05
2_1,Cyclic Voltammetry,977.147,1.0259,1.0259,-0.100905,0,-0.468239,-0.000112891
2_1,Cyclic Voltammetry,977.645,1.02687,1.02687,-0.0997137,0,-0.468253,-3.5882e-05
2_1,Cyclic Voltammetry,978.143,1.02788,1.02788,-0.0978485,0,-0.468267,-1.62125e-05
2_1,Cyclic Voltammetry,978.64,1.02889,1.02889,-0.0960846,0,-0.46828,-7.09295e-05
2_1,Cyclic Voltammetry,979.138,1.0299,1.0299,-0.0949796,0,-0.468294,-7.09295e-05
2_1,Cyclic Voltammetry,979.636,1.03094,1.03094,-0.0936789,0,-0.468307,-7.39098e-06
2_1,Cyclic Voltammetry,980.133,1.03199,1.03199,-0.0927083,0,-0.46832,-2.74181e-06
2_1,Cyclic Voltammetry,980.631,1.03297,1.03297,-0.0911151,0,-0.468332,-1.50204e-05
2_1,Cyclic Voltammetry,981.129,1.03397,1.03397,-0.0900603,0,-0.468345,-1.58548e-05
2_1,Cyclic Voltammetry,981.626,1.03494,1.03494,-0.0885681,0,-0.468357,-9.10759e-05
2_1,Cyclic Voltammetry,982.124,1.03588,1.03588,-0.0874705,0,-0.468369,-0.000117898
2_1,Cyclic Voltammetry,982.622,1.03687,1.03687,-0.0865051,0,-0.468381,-0.000106931
2_1,Cyclic Voltammetry,983.12,1.03784,1.03784,-0.085659,0,-0.468393,-7.21216e-05
2_1,Cyclic Voltammetry,983.617,1.03885,1.03885,-0.08499,0,-0.468405,-2.6226e-05
2_1,Cyclic Voltammetry,984.115,1.0399,1.0399,-0.0835481,0,-0.468417,5.61476e-05
2_1,Cyclic Voltammetry,984.613,1.04095,1.04095,-0.0825397,0,-0.468428,8.60691e-05
2_1,Cyclic Voltammetry,985.11,1.04195,1.04195,-0.0814146,0,-0.468439,8.9407e-06
2_1,Cyclic Voltammetry,985.608,1.04297,1.04297,-0.080549,0,-0.468451,-7.22408e-05
2_1,Cyclic Voltammetry,986.106,1.04399,1.04399,-0.0797031,0,-0.468462,-5.73397e-05
2_1,Cyclic Voltammetry,986.603,1.04493,1.04493,-0.0789242,0,-0.468473,-0.000105381
2_1,Cyclic Voltammetry,987.101,1.0459,1.0459,-0.0783399,0,-0.468484,-6.6638e-05
2_1,Cyclic Voltammetry,987.599,1.04685,1.04685,-0.077784,0,-0.468494,-7.00951e-05
2_1,Cyclic Voltammetry,988.097,1.04783,1.04783,-0.0770166,0,-0.468505,-8.40425e-05
2_1,Cyclic Voltammetry,988.594,1.04885,1.04885,-0.0764328,0,-0.468516,-7.15256e-05
2_1,Cyclic Voltammetry,989.092,1.0499,1.0499,-0.0760087,0,-0.468526,-5.54323e-05
2_1,Cyclic Voltammetry,989.59,1.05091,1.05091,-0.0748255,0,-0.468537,-2.3365e-05
2_1,Cyclic Voltammetry,990.087,1.05193,1.05193,-0.0742261,0,-0.468547,-2.64645e-05
2_1,Cyclic Voltammetry,990.585,1.05296,1.05296,-0.0736959,0,-0.468557,2.92063e-05
2_1,Cyclic Voltammetry,991.083,1.05395,1.05395,-0.0728701,0,-0.468567,-1.5378e-05
2_1,Cyclic Voltammetry,991.58,1.05489,1.05489,-0.0724892,0,-0.468577,-5.43594e-05
2_1,Cyclic Voltammetry,992.078,1.0559,1.0559,-0.0717705,0,-0.468587,-7.22408e-05
2_1,Cyclic Voltammetry,992.576,1.05683,1.05683,-0.07111,0,-0.468597,-9.09567e-05
2_1,Cyclic Voltammetry,993.074,1.05784,1.05784,-0.0704252,0,-0.468607,-6.16312e-05
2_1,Cyclic Voltammetry,993.571,1.05886,1.05886,-0.0698435,0,-0.468617,1.90735e-06
2_1,Cyclic Voltammetry,994.069,1.05988,1.05988,-0.0693876,0,-0.468626,8.08239e-05
2_1,Cyclic Voltammetry,994.567,1.06087,1.06087,-0.0687763,0,-0.468636,6.62804e-05
2_1,Cyclic Voltammetry,995.064,1.06194,1.06194,-0.0682684,0,-0.468645,3.09944e-05
2_1,Cyclic Voltammetry,995.562,1.06297,1.06297,-0.0678878,0,-0.468655,7.7486e-06
2_1,Cyclic Voltammetry,996.06,1.06393,1.06393,-0.0672338,0,-0.468664,-7.4029e-05
2_1,Cyclic Voltammetry,996.557,1.06491,1.06491,-0.06688,0,-0.468673,-7.80821e-05
2_1,Cyclic Voltammetry,997.055,1.06585,1.06585,-0.0663212,0,-0.468683,-8.03471e-05
2_1,Cyclic Voltammetry,997.553,1.06681,1.06681,-0.0660942,0,-0.468692,-6.23465e-05
2_1,Cyclic Voltammetry,998.051,1.06781,1.06781,-0.0655062,0,-0.468701,-2.32458e-05
2_1,Cyclic Voltammetry,998.549,1.0688,1.0688,-0.064883,0,-0.46871,1.83582e-05
2_1,Cyclic Voltammetry,999.046,1.06982,1.06982,-0.0642244,0,-0.468719,1.88351e-05
2_1,Cyclic Voltammetry,999.544,1.07087,1.07087,-0.0637283,0,-0.468728,3.37362e-05
2_1,Cyclic Voltammetry,1000.04,1.07191,1.07191,-0.0632381,0,-0.468736,7.83205e-05
2_1,Cyclic Voltammetry,1000.54,1.07292,1.07292,-0.0628305,0,-0.468745,4.76837e-05
2_1,Cyclic Voltammetry,1001.04,1.07391,1.07391,-0.062542,0,-0.468754,8.34465e-06
2_1,Cyclic Voltammetry,1001.53,1.07491,1.07491,-0.0619037,0,-0.468762,-1.97887e-05
2_1,Cyclic Voltammetry,1002.03,1.07584,1.07584,-0.0616556,0,-0.468771,-6.49691e-05
2_1,Cyclic Voltammetry,1002.53,1.07684,1.07684,-0.0609856,0,-0.468779,-0.000101566
2_1,Cyclic Voltammetry,1003.03,1.07783,1.07783,-0.0606967,0,-0.468788,-7.80821e-05
2_1,Cyclic Voltammetry,1003.53,1.07881,1.07881,-0.0604029,0,-0.468796,-8.34465e-07
2_1,Cyclic Voltammetry,1004.02,1.07984,1.07984,-0.0601898,0,-0.468805,3.57628e-07
2_1,Cyclic Voltammetry,1004.52,1.08089,1.08089,-0.0594356,0,-0.468813,8.67844e-05
2_1,Cyclic Voltammetry,1005.02,1.0819,1.0819,-0.0588917,0,-0.468821,7.70092e-05
2_1,Cyclic Voltammetry,1005.52,1.0829,1.0829,-0.0588602,0,-0.468829,-1.23978e-05
2_1,Cyclic Voltammetry,1006.01,1.08391,1.08391,-0.0580754,0,-0.468837,-3.80278e-05
2_1,Cyclic Voltammetry,1006.51,1.08488,1.08488,-0.0577036,0,-0.468845,-2.08616e-05
2_1,Cyclic Voltammetry,1007.01,1.08583,1.08583,-0.0573076,0,-0.468853,-4.86374e-05
2_1,Cyclic Voltammetry,1007.51,1.08682,1.08682,-0.0568225,0,-0.468861,-2.38419e-06
2_1,Cyclic Voltammetry,1008,1.08777,1.08777,-0.0563152,0,-0.468869,2.89679e-05
2_1,Cyclic Voltammetry,1008.5,1.0888,1.0888,-0.0559211,0,-0.468877,-3.05176e-05
2_1,Cyclic Voltammetry,1009,1.08984,1.08984,-0.0554538,0,-0.468884,-3.54052e-05
2_1,Cyclic Voltammetry,1009.5,1.09084,1.09084,-0.0551213,0,-0.468892,1.26362e-05
2_1,Cyclic Voltammetry,1010,1.09188,1.09188,-0.0547005,0,-0.4689,7.08103e-05
2_1,Cyclic Voltammetry,1010.49,1.09291,1.09291,-0.0543026,0,-0.468907,4.24385e-05
