"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
3_1,Cyclic Voltammetry,1800.14,1.00159,1.00159,-0.0348832,0,-0.017443,-5.85318e-05
3_1,Cyclic Voltammetry,1801.14,1.00664,1.00664,-0.0330656,0,-0.0174524,-0.000135064
3_1,Cyclic Voltammetry,1802.13,1.01152,1.01152,-0.0320721,0,-0.0174614,-3.50475e-05
3_1,Cyclic Voltammetry,1803.13,1.01655,1.01655,-0.0312076,0,-0.0174701,-0.000138402
3_1,Cyclic Voltammetry,1804.12,1.02139,1.02139,-0.0303666,0,-0.0174786,-2.40803e-05
3_1,Cyclic Voltammetry,1805.12,1.02647,1.02647,-0.0295897,0,-0.0174869,-9.65595e-05
3_1,Cyclic Voltammetry,1806.11,1.03138,1.03138,-0.0288843,0,-0.017495,-3.19481e-05
3_1,Cyclic Voltammetry,1807.1,1.03642,1.03642,-0.0282128,0,-0.0175029,-9.66787e-05
3_1,Cyclic Voltammetry,1808.1,1.04133,1.04133,-0.0275107,0,-0.0175106,-3.19481e-05
3_1,Cyclic Voltammetry,1809.09,1.04637,1.04637,-0.0269565,0,-0.0175181,-0.000103831
3_1,Cyclic Voltammetry,1810.09,1.05129,1.05129,-0.0263762,0,-0.0175255,1.78814e-05
3_1,Cyclic Voltammetry,1811.08,1.05634,1.05634,-0.0255324,0,-0.0175326,-9.77516e-05
3_1,Cyclic Voltammetry,1812.08,1.06123,1.06123,-0.0248643,0,-0.0175396,-3.02792e-05
3_1,Cyclic Voltammetry,1813.07,1.06628,1.06628,-0.0242128,0,-0.0175464,-9.9659e-05
3_1,Cyclic Voltammetry,1814.07,1.07119,1.07119,-0.0235635,0,-0.017553,-2.90871e-05
3_1,Cyclic Voltammetry,1815.06,1.07627,1.07627,-0.0229174,0,-0.0175594,-9.42945e-05
3_1,Cyclic Voltammetry,1816.05,1.0814,1.0814,-0.0222547,0,-0.0175656,-0.000106812
3_1,Cyclic Voltammetry,1817.05,1.08625,1.08625,-0.0216017,0,-0.0175717,-0.000159144
3_1,Cyclic Voltammetry,1818.04,1.09117,1.09117,-0.0209262,0,-0.0175776,-7.55787e-05
