"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
3_1,Cyclic Voltammetry,2165.06,1.00019,1.00019,-0.17236,0,-0.103658,-5.04255e-05
3_1,Cyclic Voltammetry,2165.25,1.00108,1.00108,-0.167579,0,-0.103667,-3.63588e-05
3_1,Cyclic Voltammetry,2165.45,1.00205,1.00205,-0.166224,0,-0.103676,-8.2016e-05
3_1,Cyclic Voltammetry,2165.65,1.00298,1.00298,-0.165277,0,-0.103686,-0.000141382
3_1,Cyclic Voltammetry,2165.85,1.00398,1.00398,-0.164137,0,-0.103695,-0.000148058
3_1,Cyclic Voltammetry,2166.05,1.005,1.005,-0.163125,0,-0.103704,-6.36578e-05
3_1,Cyclic Voltammetry,2166.25,1.00602,1.00602,-0.162802,0,-0.103713,-4.47035e-05
3_1,Cyclic Voltammetry,2166.45,1.00703,1.00703,-0.161507,0,-0.103722,-6.61612e-05
3_1,Cyclic Voltammetry,2166.65,1.00805,1.00805,-0.160817,0,-0.103731,-3.5882e-05
3_1,Cyclic Voltammetry,2166.85,1.00908,1.00908,-0.159789,0,-0.103739,-9.38177e-05
3_1,Cyclic Voltammetry,2167.05,1.01008,1.01008,-0.158781,0,-0.103748,-0.000102639
3_1,Cyclic Voltammetry,2167.24,1.01106,1.01106,-0.157837,0,-0.103757,-0.000169992
3_1,Cyclic Voltammetry,2167.44,1.01203,1.01203,-0.157091,0,-0.103766,-0.000177383
3_1,Cyclic Voltammetry,2167.64,1.01298,1.01298,-0.156279,0,-0.103774,-0.000148296
3_1,Cyclic Voltammetry,2167.84,1.01395,1.01395,-0.155336,0,-0.103783,-5.23329e-05
3_1,Cyclic Voltammetry,2168.04,1.01494,1.01494,-0.154629,0,-0.103792,-9.53674e-07
3_1,Cyclic Voltammetry,2168.24,1.01593,1.01593,-0.153903,0,-0.1038,3.03984e-05
3_1,Cyclic Voltammetry,2168.44,1.01695,1.01695,-0.153166,0,-0.103809,0.000109673
3_1,Cyclic Voltammetry,2168.64,1.01796,1.01796,-0.152209,0,-0.103817,3.05176e-05
3_1,Cyclic Voltammetry,2168.84,1.01899,1.01899,-0.151923,0,-0.103825,-9.77516e-05
3_1,Cyclic Voltammetry,2169.03,1.01995,1.01995,-0.150904,0,-0.103834,-0.000132203
3_1,Cyclic Voltammetry,2169.23,1.02098,1.02098,-0.149724,0,-0.103842,-0.000153542
3_1,Cyclic Voltammetry,2169.43,1.02192,1.02192,-0.14999,0,-0.10385,-0.000113606
3_1,Cyclic Voltammetry,2169.63,1.02291,1.02291,-0.148083,0,-0.103859,-6.18696e-05
3_1,Cyclic Voltammetry,2169.83,1.02385,1.02385,-0.147925,0,-0.103867,-4.8399e-05
3_1,Cyclic Voltammetry,2170.03,1.02481,1.02481,-0.146803,0,-0.103875,-3.24249e-05
3_1,Cyclic Voltammetry,2170.23,1.02582,1.02582,-0.146083,0,-0.103883,3.26633e-05
3_1,Cyclic Voltammetry,2170.43,1.02682,1.02682,-0.14543,0,-0.103891,1.52588e-05
3_1,Cyclic Voltammetry,2170.63,1.02784,1.02784,-0.144621,0,-0.103899,-5.65052e-05
3_1,Cyclic Voltammetry,2170.82,1.02887,1.02887,-0.144247,0,-0.103907,1.54972e-06
3_1,Cyclic Voltammetry,2171.02,1.0299,1.0299,-0.144065,0,-0.103915,-4.20809e-05
3_1,Cyclic Voltammetry,2171.22,1.03096,1.03096,-0.143159,0,-0.103923,-6.77109e-05
3_1,Cyclic Voltammetry,2171.42,1.03193,1.03193,-0.141937,0,-0.103931,-3.46899e-05
3_1,Cyclic Voltammetry,2171.62,1.03291,1.03291,-0.140989,0,-0.103939,-5.44786e-05
3_1,Cyclic Voltammetry,2171.82,1.03385,1.03385,-0.140133,0,-0.103946,-4.74453e-05
3_1,Cyclic Voltammetry,2172.02,1.03482,1.03482,-0.139417,0,-0.103954,-3.76701e-05
3_1,Cyclic Voltammetry,2172.22,1.03578,1.03578,-0.138806,0,-0.103962,-6.25849e-05
3_1,Cyclic Voltammetry,2172.42,1.03678,1.03678,-0.138222,0,-0.103969,-3.76701e-05
3_1,Cyclic Voltammetry,2172.61,1.03781,1.03781,-0.137752,0,-0.103977,1.9908e-05
3_1,Cyclic Voltammetry,2172.81,1.03884,1.03884,-0.136941,0,-0.103985,4.1008e-05
3_1,Cyclic Voltammetry,2173.01,1.0399,1.0399,-0.136615,0,-0.103992,-1.03712e-05
3_1,Cyclic Voltammetry,2173.21,1.04088,1.04088,-0.135551,0,-0.104,-2.47955e-05
3_1,Cyclic Voltammetry,2173.41,1.04192,1.04192,-0.13494,0,-0.104007,-9.34601e-05
3_1,Cyclic Voltammetry,2173.61,1.04292,1.04292,-0.134602,0,-0.104015,-0.000166655
3_1,Cyclic Voltammetry,2173.81,1.04387,1.04387,-0.133865,0,-0.104022,-0.000161886
3_1,Cyclic Voltammetry,2174.01,1.04485,1.04485,-0.132997,0,-0.104029,-0.000118732
