"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,490.984,1.00061,1.00061,-1.55826,0,-0.212522,0.000180125
2_1,Cyclic Voltammetry,491.98,1.00253,1.00253,-1.36456,0,-0.212926,9.67979e-05
2_1,Cyclic Voltammetry,492.975,1.00452,1.00452,-1.23217,0,-0.213285,5.25713e-05
2_1,Cyclic Voltammetry,493.97,1.00656,1.00656,-1.13071,0,-0.213612,0.000202298
2_1,Cyclic Voltammetry,494.966,1.00859,1.00859,-1.04871,0,-0.213913,0.000267506
2_1,Cyclic Voltammetry,495.961,1.01053,1.01053,-0.98007,0,-0.214193,0.000167012
2_1,Cyclic Voltammetry,496.957,1.01245,1.01245,-0.921314,0,-0.214456,0.000113487
2_1,Cyclic Voltammetry,497.952,1.01446,1.01446,-0.870229,0,-0.214704,0.000123739
2_1,Cyclic Voltammetry,498.947,1.01648,1.01648,-0.82521,0,-0.214938,0.000208259
2_1,Cyclic Voltammetry,499.943,1.01844,1.01844,-0.785407,0,-0.215161,0.000250101
2_1,Cyclic Voltammetry,500.938,1.0204,1.0204,-0.74914,0,-0.215373,0.00024581
2_1,Cyclic Voltammetry,501.934,1.02233,1.02233,-0.716345,0,-0.215576,0.000203609
2_1,Cyclic Voltammetry,502.929,1.02434,1.02434,-0.686457,0,-0.21577,7.18832e-05
2_1,Cyclic Voltammetry,503.924,1.0264,1.0264,-0.659029,0,-0.215956,0.000196815
2_1,Cyclic Voltammetry,504.92,1.02842,1.02842,-0.633727,0,-0.216135,0.000276566
2_1,Cyclic Voltammetry,505.915,1.03038,1.03038,-0.610354,0,-0.216307,0.000239611
2_1,Cyclic Voltammetry,506.911,1.0323,1.0323,-0.588682,0,-0.216472,0.000140309
2_1,Cyclic Voltammetry,507.906,1.03427,1.03427,-0.568475,0,-0.216632,0.00018549
2_1,Cyclic Voltammetry,508.901,1.03631,1.03631,-0.549673,0,-0.216787,0.00020349
2_1,Cyclic Voltammetry,509.897,1.03837,1.03837,-0.531996,0,-0.216936,0.00021255
2_1,Cyclic Voltammetry,510.892,1.04036,1.04036,-0.515413,0,-0.217081,0.000233054
2_1,Cyclic Voltammetry,511.888,1.04227,1.04227,-0.499749,0,-0.217222,0.000187993
2_1,Cyclic Voltammetry,512.883,1.04425,1.04425,-0.484957,0,-0.217358,9.11951e-05
2_1,Cyclic Voltammetry,513.878,1.04628,1.04628,-0.470912,0,-0.21749,0.000167489
2_1,Cyclic Voltammetry,514.874,1.04835,1.04835,-0.457586,0,-0.217618,0.000242949
2_1,Cyclic Voltammetry,515.869,1.05032,1.05032,-0.444988,0,-0.217743,0.0002141
2_1,Cyclic Voltammetry,516.865,1.05222,1.05222,-0.433066,0,-0.217864,0.000146389
2_1,Cyclic Voltammetry,517.86,1.05419,1.05419,-0.421621,0,-0.217983,0.000174761
2_1,Cyclic Voltammetry,518.855,1.05626,1.05626,-0.410795,0,-0.218098,0.00016582
2_1,Cyclic Voltammetry,519.851,1.0583,1.0583,-0.40041,0,-0.21821,0.000221133
2_1,Cyclic Voltammetry,520.846,1.06029,1.06029,-0.390536,0,-0.218319,0.000270724
2_1,Cyclic Voltammetry,521.842,1.06222,1.06222,-0.381057,0,-0.218426,0.000181556
2_1,Cyclic Voltammetry,522.837,1.06417,1.06417,-0.371955,0,-0.21853,0.000102043
2_1,Cyclic Voltammetry,523.832,1.06621,1.06621,-0.363253,0,-0.218632,0.000203133
2_1,Cyclic Voltammetry,524.828,1.06827,1.06827,-0.354883,0,-0.218731,0.000257969
2_1,Cyclic Voltammetry,525.823,1.07028,1.07028,-0.346867,0,-0.218828,0.000245214
2_1,Cyclic Voltammetry,526.819,1.07222,1.07222,-0.339159,0,-0.218923,0.000180602
2_1,Cyclic Voltammetry,527.814,1.07413,1.07413,-0.331723,0,-0.219015,0.000172377
2_1,Cyclic Voltammetry,528.809,1.07615,1.07615,-0.324554,0,-0.219106,0.000182271
2_1,Cyclic Voltammetry,529.805,1.07823,1.07823,-0.317647,0,-0.219195,0.000181913
2_1,Cyclic Voltammetry,530.8,1.08023,1.08023,-0.310977,0,-0.219282,0.000288844
2_1,Cyclic Voltammetry,531.796,1.08216,1.08216,-0.304596,0,-0.219367,0.000242352
2_1,Cyclic Voltammetry,532.791,1.0841,1.0841,-0.298364,0,-0.21945,0.000160694
2_1,Cyclic Voltammetry,533.786,1.08612,1.08612,-0.292384,0,-0.219532,0.000192046
2_1,Cyclic Voltammetry,534.782,1.08818,1.08818,-0.286522,0,-0.219612,0.00021112
2_1,Cyclic Voltammetry,535.777,1.0902,1.0902,-0.280901,0,-0.21969,0.000213027
2_1,Cyclic Voltammetry,536.773,1.09215,1.09215,-0.27541,0,-0.219767,0.000256062
2_1,Cyclic Voltammetry,537.768,1.09407,1.09407,-0.270101,0,-0.219843,0.000184059
2_1,Cyclic Voltammetry,538.763,1.0961,1.0961,-0.264958,0,-0.219917,0.000124931
2_1,Cyclic Voltammetry,539.759,1.09814,1.09814,-0.259977,0,-0.219989,0.000156164
2_1,Cyclic Voltammetry,540.754,1.10017,1.10017,-0.255153,0,-0.220061,0.000283241
2_1,Cyclic Voltammetry,541.75,1.10213,1.10213,-0.250445,0,-0.22013,0.000255466
2_1,Cyclic Voltammetry,542.796,1.10409,1.10409,-0.245556,0,-0.220203,9.67979e-05
2_1,Cyclic Voltammetry,543.792,1.10617,1.10617,-0.240716,0,-0.22027,0.000138879
2_1,Cyclic Voltammetry,544.838,1.10828,1.10828,-0.236217,0,-0.220339,0.000254512
2_1,Cyclic Voltammetry,545.834,1.1104,1.1104,-0.231619,0,-0.220404,0.000255108
2_1,Cyclic Voltammetry,546.829,1.11236,1.11236,-0.227563,0,-0.220467,0.000229239
2_1,Cyclic Voltammetry,547.825,1.11427,1.11427,-0.223615,0,-0.22053,0.000213265
2_1,Cyclic Voltammetry,548.82,1.11671,1.11671,-0.220015,0,-0.220591,5.78165e-05
2_1,Cyclic Voltammetry,549.815,1.11834,1.11834,-0.216027,0,-0.220651,0.000155568
2_1,Cyclic Voltammetry,550.811,1.12036,1.12036,-0.212375,0,-0.22071,0.000214577
2_1,Cyclic Voltammetry,551.806,1.12231,1.12231,-0.208833,0,-0.220769,0.00024724
2_1,Cyclic Voltammetry,552.802,1.12425,1.12425,-0.205374,0,-0.220826,0.000127316
2_1,Cyclic Voltammetry,553.797,1.12625,1.12625,-0.202007,0,-0.220882,0.000138879
2_1,Cyclic Voltammetry,554.792,1.12832,1.12832,-0.198724,0,-0.220938,0.000210881
2_1,Cyclic Voltammetry,555.788,1.13036,1.13036,-0.195522,0,-0.220992,0.000209928
