"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
3_1,Cyclic Voltammetry,1691.11,1.00201,1.00201,-0.1658,0,-0.077885,0.000113845
3_1,Cyclic Voltammetry,1692.1,1.00705,1.00705,-0.155493,0,-0.0779294,0.000267386
3_1,Cyclic Voltammetry,1693.09,1.01194,1.01194,-0.14804,0,-0.0779713,0.000154495
3_1,Cyclic Voltammetry,1694.09,1.01694,1.01694,-0.141598,0,-0.0780113,0.000240207
3_1,Cyclic Voltammetry,1695.08,1.02182,1.02182,-0.135478,0,-0.0780496,0.000177264
3_1,Cyclic Voltammetry,1696.08,1.02686,1.02686,-0.129774,0,-0.0780862,0.00023973
3_1,Cyclic Voltammetry,1697.07,1.0318,1.0318,-0.124339,0,-0.0781213,0.000173688
3_1,Cyclic Voltammetry,1698.07,1.03682,1.03682,-0.119406,0,-0.078155,0.000221968
3_1,Cyclic Voltammetry,1699.06,1.04178,1.04178,-0.114668,0,-0.0781873,0.000206113
3_1,Cyclic Voltammetry,1700.06,1.04677,1.04677,-0.11018,0,-0.0782184,0.000233531
3_1,Cyclic Voltammetry,1701.05,1.05173,1.05173,-0.10572,0,-0.0782482,0.000240326
3_1,Cyclic Voltammetry,1702.04,1.05674,1.05674,-0.101818,0,-0.0782769,0.000185132
3_1,Cyclic Voltammetry,1703.04,1.06171,1.06171,-0.0980349,0,-0.0783045,0.000216961
3_1,Cyclic Voltammetry,1704.03,1.0667,1.0667,-0.0942112,0,-0.078331,0.000243187
3_1,Cyclic Voltammetry,1705.03,1.07169,1.07169,-0.0904578,0,-0.0783566,0.000225902
3_1,Cyclic Voltammetry,1706.02,1.07666,1.07666,-0.0869735,0,-0.0783811,0.00020802
3_1,Cyclic Voltammetry,1707.02,1.08167,1.08167,-0.0839674,0,-0.0784047,0.000264764
3_1,Cyclic Voltammetry,1708.01,1.08664,1.08664,-0.0809705,0,-0.0784275,0.000202894
3_1,Cyclic Voltammetry,1709.01,1.09164,1.09164,-0.0777918,0,-0.0784494,0.000280976
3_1,Cyclic Voltammetry,1710,1.09658,1.09658,-0.0748274,0,-0.0784705,0.000206947
3_1,Cyclic Voltammetry,1711,1.1016,1.1016,-0.0722189,0,-0.0784908,0.000291586
3_1,Cyclic Voltammetry,1711.99,1.10655,1.10655,-0.0696794,0,-0.0785104,0.000178099
3_1,Cyclic Voltammetry,1712.98,1.1116,1.1116,-0.0669675,0,-0.0785292,0.000259876
3_1,Cyclic Voltammetry,1713.98,1.11657,1.11657,-0.0647007,0,-0.0785474,0.000203371
3_1,Cyclic Voltammetry,1714.97,1.12159,1.12159,-0.0623383,0,-0.078565,0.000278354
3_1,Cyclic Voltammetry,1715.97,1.12657,1.12657,-0.0601473,0,-0.0785819,0.000212431
3_1,Cyclic Voltammetry,1716.96,1.13161,1.13161,-0.0578399,0,-0.0785982,0.000265241
3_1,Cyclic Voltammetry,1717.96,1.13654,1.13654,-0.0555489,0,-0.0786139,0.00018549
3_1,Cyclic Voltammetry,1718.95,1.14159,1.14159,-0.0537198,0,-0.078629,0.000285268
3_1,Cyclic Voltammetry,1719.95,1.14654,1.14654,-0.0517306,0,-0.0786435,0.000183225
3_1,Cyclic Voltammetry,1720.94,1.15162,1.15162,-0.0497645,0,-0.0786575,0.000298977
3_1,Cyclic Voltammetry,1721.93,1.15657,1.15657,-0.0480892,0,-0.0786711,0.000217676
3_1,Cyclic Voltammetry,1722.93,1.16163,1.16163,-0.0464268,0,-0.0786841,0.000321388
3_1,Cyclic Voltammetry,1723.92,1.16656,1.16656,-0.0447867,0,-0.0786967,0.000214815
3_1,Cyclic Voltammetry,1724.92,1.17159,1.17159,-0.0430166,0,-0.0787088,0.00030148
3_1,Cyclic Voltammetry,1725.91,1.17654,1.17654,-0.0413827,0,-0.0787205,0.000239372
3_1,Cyclic Voltammetry,1726.91,1.18161,1.18161,-0.0399463,0,-0.0787317,0.000359535
3_1,Cyclic Voltammetry,1727.9,1.18652,1.18652,-0.038709,0,-0.0787426,0.000241876
3_1,Cyclic Voltammetry,1728.9,1.19149,1.19149,-0.0373004,0,-0.0787531,0.000319004
3_1,Cyclic Voltammetry,1729.89,1.19641,1.19641,-0.0361475,0,-0.0787632,0.000234365
3_1,Cyclic Voltammetry,1730.89,1.20145,1.20145,-0.0348394,0,-0.078773,0.000358462
3_1,Cyclic Voltammetry,1731.88,1.20638,1.20638,-0.0335636,0,-0.0787825,0.000268459
3_1,Cyclic Voltammetry,1732.87,1.21141,1.21141,-0.0324066,0,-0.0787916,0.000333071
3_1,Cyclic Voltammetry,1733.87,1.21634,1.21634,-0.0311715,0,-0.0788004,0.00026381
3_1,Cyclic Voltammetry,1734.86,1.22138,1.22138,-0.0302568,0,-0.0788089,0.000347614
3_1,Cyclic Voltammetry,1735.86,1.22628,1.22628,-0.0294674,0,-0.0788171,0.000259519
3_1,Cyclic Voltammetry,1736.85,1.23133,1.23133,-0.028519,0,-0.0788251,0.000309467
3_1,Cyclic Voltammetry,1737.85,1.23623,1.23623,-0.027692,0,-0.0788329,0.000284791
3_1,Cyclic Voltammetry,1738.84,1.24127,1.24127,-0.0267415,0,-0.0788404,0.000311375
3_1,Cyclic Voltammetry,1739.84,1.24615,1.24615,-0.0259457,0,-0.0788477,0.000246644
3_1,Cyclic Voltammetry,1740.83,1.25121,1.25121,-0.0250283,0,-0.0788547,0.000299096
3_1,Cyclic Voltammetry,1741.82,1.25612,1.25612,-0.0242114,0,-0.0788615,0.000289798
3_1,Cyclic Voltammetry,1742.82,1.26117,1.26117,-0.0233648,0,-0.0788681,0.000291228
3_1,Cyclic Voltammetry,1743.81,1.26762,1.26762,-0.0227112,0,-0.0788745,0.000201344
3_1,Cyclic Voltammetry,1744.81,1.27111,1.27111,-0.0222388,0,-0.0788807,0.000156164
3_1,Cyclic Voltammetry,1745.8,1.276,1.276,-0.0214557,0,-0.0788867,0.000236392
3_1,Cyclic Voltammetry,1746.8,1.28103,1.28103,-0.0208251,0,-0.0788925,0.000208616
3_1,Cyclic Voltammetry,1747.79,1.28591,1.28591,-0.0200368,0,-0.0788982,0.000255942
3_1,Cyclic Voltammetry,1748.79,1.29097,1.29097,-0.0193347,0,-0.0789036,0.000205159
3_1,Cyclic Voltammetry,1749.78,1.29586,1.29586,-0.0186135,0,-0.0789089,0.000320911
3_1,Cyclic Voltammetry,1750.78,1.30093,1.30093,-0.0180533,0,-0.0789139,0.000254273
3_1,Cyclic Voltammetry,1751.77,1.30581,1.30581,-0.0175326,0,-0.0789189,0.000307679
3_1,Cyclic Voltammetry,1752.76,1.31086,1.31086,-0.0169503,0,-0.0789236,0.000254989
3_1,Cyclic Voltammetry,1753.76,1.31574,1.31574,-0.0161889,0,-0.0789282,0.000366807
3_1,Cyclic Voltammetry,1754.75,1.32078,1.32078,-0.0155739,0,-0.0789326,0.00022471
3_1,Cyclic Voltammetry,1755.75,1.32565,1.32565,-0.0147291,0,-0.0789368,0.000306845
3_1,Cyclic Voltammetry,1756.74,1.33068,1.33068,-0.0142024,0,-0.0789408,0.000235438
3_1,Cyclic Voltammetry,1757.74,1.33557,1.33557,-0.0135077,0,-0.0789446,0.000341058
3_1,Cyclic Voltammetry,1758.73,1.34058,1.34058,-0.0127327,0,-0.0789482,0.000259399
3_1,Cyclic Voltammetry,1759.73,1.34552,1.34552,-0.0119124,0,-0.0789516,0.000276804
3_1,Cyclic Voltammetry,1760.72,1.35049,1.35049,-0.0112833,0,-0.0789548,0.000292182
3_1,Cyclic Voltammetry,1761.71,1.35546,1.35546,-0.0107014,0,-0.0789579,0.000285149
3_1,Cyclic Voltammetry,1762.71,1.36037,1.36037,-0.00965974,0,-0.0789607,0.000259042
3_1,Cyclic Voltammetry,1763.7,1.36537,1.36537,-0.00899923,0,-0.0789632,0.000242472
3_1,Cyclic Voltammetry,1764.7,1.3703,1.3703,-0.00823467,0,-0.0789656,0.000282049
3_1,Cyclic Voltammetry,1765.69,1.37532,1.37532,-0.0077599,0,-0.0789678,0.000275493
3_1,Cyclic Voltammetry,1766.69,1.38026,1.38026,-0.00689271,0,-0.0789699,0.000311255
3_1,Cyclic Voltammetry,1767.68,1.38529,1.38529,-0.00593818,0,-0.0789716,0.000267148
3_1,Cyclic Voltammetry,1768.68,1.39023,1.39023,-0.00487986,0,-0.0789731,0.000316143
3_1,Cyclic Voltammetry,1769.67,1.39529,1.39529,-0.00414341,0,-0.0789744,0.000266075
3_1,Cyclic Voltammetry,1770.67,1.40227,1.40227,-0.00319047,0,-0.0789754,0.000437379
3_1,Cyclic Voltammetry,1771.66,1.40527,1.40527,-0.00290598,0,-0.0789762,0.000234962
3_1,Cyclic Voltammetry,1772.65,1.41251,1.41251,-0.00192641,0,-0.0789769,0.000314236
3_1,Cyclic Voltammetry,1773.65,1.41522,1.41522,-0.00130624,0,-0.0789773,0.000299692
3_1,Cyclic Voltammetry,1774.64,1.42246,1.42246,0.000220095,0,-0.0789775,0.000407934
3_1,Cyclic Voltammetry,1775.64,1.42707,1.42707,0.00140542,0,-0.0789773,0.000203371
3_1,Cyclic Voltammetry,1776.63,1.43015,1.43015,0.00221974,0,-0.0789768,0.00031817
3_1,Cyclic Voltammetry,1777.63,1.43514,1.43514,0.0033835,0,-0.078976,0.000315905
3_1,Cyclic Voltammetry,1778.62,1.44012,1.44012,0.00467631,0,-0.0789749,0.000267386
3_1,Cyclic Voltammetry,1779.62,1.44512,1.44512,0.00600002,0,-0.0789734,0.000342131
3_1,Cyclic Voltammetry,1780.61,1.4501,1.4501,0.00726078,0,-0.0789716,0.000319362
3_1,Cyclic Voltammetry,1781.6,1.4551,1.4551,0.00888582,0,-0.0789693,0.000371814
3_1,Cyclic Voltammetry,1782.6,1.46013,1.46013,0.0105287,0,-0.0789667,0.000323892
3_1,Cyclic Voltammetry,1783.59,1.46511,1.46511,0.0122092,0,-0.0789635,0.0003829
3_1,Cyclic Voltammetry,1784.59,1.47012,1.47012,0.01358,0,-0.07896,0.000283003
3_1,Cyclic Voltammetry,1785.58,1.47509,1.47509,0.0151028,0,-0.078956,0.000378847
3_1,Cyclic Voltammetry,1786.58,1.48013,1.48013,0.0169005,0,-0.0789516,0.000264883
3_1,Cyclic Voltammetry,1787.57,1.48508,1.48508,0.0184564,0,-0.0789467,0.000377417
3_1,Cyclic Voltammetry,1788.57,1.49013,1.49013,0.0201348,0,-0.0789414,0.000365376
3_1,Cyclic Voltammetry,1789.56,1.49505,1.49505,0.0221788,0,-0.0789355,0.000463367
3_1,Cyclic Voltammetry,1790.56,1.50008,1.50008,0.0244514,0,-0.0789291,0.000339627
3_1,Cyclic Voltammetry,1791.55,1.50609,1.50609,0.0266489,0,-0.078922,0.000327468
3_1,Cyclic Voltammetry,1792.54,1.5101,1.5101,0.0279243,0,-0.0789145,0.000324726
3_1,Cyclic Voltammetry,1793.54,1.51505,1.51505,0.0300704,0,-0.0789065,0.000352859
3_1,Cyclic Voltammetry,1794.53,1.52009,1.52009,0.0320875,0,-0.0788979,0.000240564
3_1,Cyclic Voltammetry,1795.53,1.52508,1.52508,0.0341403,0,-0.0788887,0.000322223
3_1,Cyclic Voltammetry,1796.52,1.53,1.53,0.0367034,0,-0.078879,0.000259161
3_1,Cyclic Voltammetry,1797.52,1.53492,1.53492,0.0390366,0,-0.0788685,0.000316978
3_1,Cyclic Voltammetry,1798.51,1.53995,1.53995,0.0416798,0,-0.0788573,0.000287175
3_1,Cyclic Voltammetry,1799.51,1.54487,1.54487,0.0445828,0,-0.0788454,0.000381947
3_1,Cyclic Voltammetry,1800.5,1.54993,1.54993,0.0478042,0,-0.0788327,0.000314236
3_1,Cyclic Voltammetry,1801.49,1.55485,1.55485,0.0504595,0,-0.0788191,0.000359178
3_1,Cyclic Voltammetry,1802.49,1.55986,1.55986,0.0533969,0,-0.0788047,0.000307322
3_1,Cyclic Voltammetry,1803.48,1.56477,1.56477,0.0566685,0,-0.0787895,0.000338316
3_1,Cyclic Voltammetry,1804.48,1.56981,1.56981,0.0602047,0,-0.0787734,0.000375509
3_1,Cyclic Voltammetry,1805.47,1.57473,1.57473,0.0644564,0,-0.0787562,0.000333071
3_1,Cyclic Voltammetry,1806.47,1.57978,1.57978,0.0690775,0,-0.0787377,0.000377297
